Model,Recall,Precision,F1,AUC-ROC,Time
Random Forest,0.999481166338072,0.9995848899958489,0.9995330254760546,0.9999628112760246,16.227015256881714
XGBoost,0.9991698661409152,0.9998961578400831,0.9995328800539783,0.9999978726638007,4.200311183929443
LightGBM,0.9991698661409152,0.9997923372443153,0.9994810047747561,0.9999974253045106,1.6040198802947998
Logistic Regression,0.9569368060599772,0.6732861210484048,0.7904345590125996,0.9879736925515061,1.2558908462524414
